,Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,Unnamed: 74,G%,F%
253,Cam Reddish,34.36363636363637,761.1818181818181,0.4010909090909091,15.481818181818182,0.5407272727272727,0.2161818181818182,0.1456363636363636,0.088636364,0.090454545,0.4592727272727272,0.4685454545454545,0.6048181818181818,0.4540909090909091,0.2086363636363636,0.4105454545454545,0.3256363636363636,0.5529090909090909,0.8558181818181818,0.045090909,9.636363636363637,0.2764545454545454,0.407090909090909,0.1818181818181818,0.0,12.163636363636364,0.5411818181818182,0.4592727272727272,0.3217272727272727,2.7,9.172727272727272,5.954545454545454,7.045454545454546,2.363636363636364,1.4363636363636365,11.872727272727271,20.981818181818184,-0.027272727,0.5727272727272728,0.5454545454545454,0.048272727,-1.636363636,-0.027272727,-1.654545455,0.009090909,8.818181818181818,7.372727272727272,18.40909090909091,0.4010909090909091,2.8000000000000003,8.418181818,0.3256363636363636,4.572727272727273,9.963636363636365,0.4685454545454545,5.036363636363637,5.690909090909091,0.8857272727272728,1.209090909090909,4.118181818181818,5.354545454545455,2.327272727272727,2.363636363636364,0.7545454545454546,2.7818181818181817,3.2818181818181817,22.60909090909091,104.45454545454544,113.1818181818182,0.0,0.12,0.738181818,0.207272727,0.0,,0.12,0.945454545
255,Cameron Bairstow,18.0,83.5,0.2695,10.1,0.9375,0.316,0.1965,0.1104999999999999,0.3145,0.0625,0.2785,0.2365,0.15,0.25,0.354,0.2,0.667,1.0,0.0,0.0,0.6,0.333,0.0,0.0,4.45,0.35,0.0625,0.2784999999999999,7.35,13.65,10.55,5.449999999999999,1.3,1.6,12.0,16.9,-0.1,0.05,-0.05,-0.026,-6.85,-1.45,-8.25,-0.1,1.5,4.35,15.4,0.2695,0.25,1.2,0.2,4.1,14.15,0.2785,3.3,3.95,0.8375,3.4000000000000004,6.65,10.05,1.85,1.3,1.15,2.15,7.85,12.35,81.5,106.0,0.0,0.0,0.08,0.635,0.66,,0.0,0.715
256,Cameron Johnson,61.0,1474.0,0.4383333333333333,18.933333333333334,0.33,0.1526666666666666,0.085666667,0.0496666666666666,0.042,0.6699999999999999,0.5433333333333333,0.7436666666666666,0.3833333333333333,0.3166666666666666,0.3076666666666667,0.3879999999999999,0.751,0.9833333333333334,0.040333333,18.33333333333333,0.3813333333333333,0.4356666666666666,1.0,0.0,13.3,0.5913333333333334,0.6699999999999999,0.1503333333333333,3.2,13.1,8.233333333333334,7.8,1.4333333333333331,1.0666666666666669,6.966666666666666,16.733333333333334,2.033333333333333,1.6,3.633333333333333,0.1146666666666666,0.9333333333333332,0.033333333,0.9333333333333336,1.1666666666666667,12.0,7.133333333333333,16.266666666666666,0.4383333333333333,4.2,10.9,0.3879999999999999,2.9,5.366666666666667,0.5433333333333333,2.033333333333333,2.466666666666667,0.8380000000000001,1.3666666666666665,5.766666666666667,7.166666666666667,2.8000000000000003,1.4333333333333331,0.5666666666666668,1.3,3.1,20.53333333333333,117.33333333333331,111.66666666666669,0.0,0.0,0.096666667,0.873333333,0.033333333,,0.0,0.9700000000000001
257,Cameron McGriff,3.0,46.0,0.357,13.0,0.571,0.357,0.143,0.0,0.071,0.429,0.375,0.4,0.5,,0.0,0.333,0.667,0.0,0.0,0.0,0.333,0.0,0.0,0.0,12.5,0.47,0.429,0.143,13.8,22.3,17.9,9.4,0.0,2.1,0.0,14.0,0.1,0.0,0.1,0.097,-1.0,-3.0,-4.0,0.0,0.0,5.3,14.9,0.357,2.1,6.4,0.333,3.2,8.5,0.375,2.1,2.1,1.0,6.4,9.6,15.9,3.2,0.0,1.1,0.0,7.4,14.9,123.0,119.0,0.0,0.0,0.14,0.78,0.08,,0.0,0.92
260,Cameron Reynolds,4.9,49.9,0.3861,16.06,0.5095,0.0836,0.3397,0.0798,0.0064,0.4905,0.4944,0.4857142857142857,0.4857142857142857,0.5305714285714286,0.2,0.2731428571428571,0.975,0.7077142857142859,0.0408,0.9,0.4734285714285714,0.1967142857142857,0.0,0.0,6.8,0.4549,0.4905,0.0115,3.49,6.5600000000000005,4.99,5.57,0.11,0.07,0.5700000000000001,17.52,0.03,0.01,0.04,-0.0219,-3.52,-4.02,-7.54,-0.06,0.0,7.27,19.41,0.3861,2.73,10.24,0.2731428571428571,4.569999999999999,9.17,0.4944,0.15,0.1699999999999999,0.889,1.63,2.84,4.44,1.8,0.11,0.04,0.09,2.04,17.39,98.8,120.8,0.01,0.61,0.462,0.795,0.0,,0.62,1.2570000000000001
262,Carl Landry,51.72,1356.36,0.52772,8.448,0.99356,0.37288,0.2208,0.15436,0.24544,0.00644,0.52964,0.7339600000000001,0.42616,0.40796,0.39676,0.1563,0.58652,1.0,0.09016,41.2,0.34525,0.2666666666666666,0.6,0.0,17.028,0.58416,0.00644,0.4282399999999999,9.128,13.624,11.356,5.032,1.012,1.412,11.084,20.932,2.736,1.044,3.792,0.13448,0.3279999999999999,-0.852,-0.564,0.556,14.72,9.484,18.008,0.52772,0.02,0.124,0.1563,9.464,17.872,0.52964,6.032,7.736000000000001,0.7758400000000001,4.144,6.04,10.18,1.52,1.012,0.96,2.656,5.32,25.04,114.68,109.2,0.0,0.0,0.026153846,0.7544,0.306842105,,0.0,0.780553846
266,Carlos Boozer,66.23076923076923,2069.3076923076924,0.5202307692307693,7.838461538461539,0.9987692307692309,0.4088461538461538,0.1761538461538461,0.2081538461538461,0.2056923076923076,0.001230769,0.5207692307692308,0.675923077,0.3956923076923077,0.4303076923076923,0.4088461538461538,0.0238571428571428,0.6863076923076924,1.0,0.057769231,43.23076923076923,0.2142857142857142,0.0,0.076923077,0.0,19.246153846153845,0.5528461538461539,0.001230769,0.2836153846153846,8.853846153846153,26.32307692307692,17.6,13.246153846153849,1.484615384615385,0.9384615384615383,12.584615384615384,24.184615384615384,3.130769230769231,3.053846153846154,6.1692307692307695,0.1391538461538461,1.1538461538461535,0.069230769,1.2,1.7769230769230768,59.61538461538461,11.376923076923076,21.884615384615383,0.5202307692307693,0.0,0.007692308,0.0238571428571428,11.376923076923076,21.85384615384616,0.5207692307692308,4.415384615384616,6.146153846153847,0.7186153846153847,4.0,11.892307692307693,15.876923076923076,3.746153846153846,1.484615384615385,0.6307692307692307,3.553846153846154,5.176923076923076,27.138461538461534,107.84615384615384,102.6153846153846,0.0,0.0,0.08,0.758461538,0.231538462,,0.0,0.838461538
267,Carlos Delfino,63.375,1447.5,0.397375,16.125,0.539,0.259875,0.04725,0.0489999999999999,0.183,0.461,0.435625,0.534625,0.349375,0.33825,0.360875,0.347125,0.522375,0.958625,0.039625,12.375,0.366625,0.354125,1.125,0.0,12.075,0.5078750000000001,0.461,0.203375,3.0375,14.8125,8.85,11.875,2.1125,0.6875,11.8,17.5625,0.9,1.925,2.825,0.08725,-1.0625,0.9375,-0.1125,0.9125,21.25,6.525,16.4,0.397375,2.7375,7.675,0.347125,3.7875,8.725,0.435625,2.375,3.2875,0.751125,1.425,6.7125,8.125,4.0,2.1125,0.475,2.3625,4.125,18.1875,102.375,103.75,0.0,0.28875,0.68375,0.044,0.0,,0.28875,0.72775
268,Carmelo Anthony,60.92592592592592,2121.074074074074,0.4464444444444445,13.42962962962963,0.7732222222222221,0.2805185185185185,0.08662963,0.1448518518518518,0.2613703703703703,0.2267777777777777,0.4707407407407407,0.5916666666666667,0.3444444444444445,0.3891851851851851,0.4211851851851851,0.3538518518518518,0.4152222222222222,0.8338888888888889,0.040962963,47.74074074074074,0.1392222222222222,0.3688888888888889,2.037037037037037,0.0,19.74814814814815,0.546074074,0.2267777777777777,0.3437407407407407,4.977777777777778,16.02962962962963,10.507407407407406,14.037037037037036,1.337037037037037,1.2555555555555555,10.05925925925926,29.774074074074072,3.6222222222222222,1.8592592592592596,5.485185185185185,0.1215555555555555,2.603703703703704,-1.240740741,1.3555555555555556,1.8592592592592596,55.74074074074074,11.8,26.37037037037037,0.4464444444444445,2.081481481481481,5.751851851851852,0.3538518518518518,9.718518518518518,20.61851851851852,0.4707407407407407,7.592592592592593,9.214814814814815,0.8204444444444445,2.2111111111111112,7.137037037037037,9.348148148148148,3.8777777777777778,1.337037037037037,0.8,3.462962962962963,4.166666666666667,33.27407407407407,108.4074074074074,109.03703703703704,0.0,0.040769231,0.7275,0.307777778,0.108571429,,0.040769231,1.035277778
269,Caron Butler,51.03333333333333,1644.7666666666669,0.421,15.776666666666667,0.7253000000000001,0.1862,0.079833333,0.1095666666666666,0.3497333333333333,0.2747,0.4366666666666666,0.5263,0.3607666666666667,0.3696,0.4228333333333333,0.3369666666666667,0.5497666666666666,0.8005333333333333,0.0266,19.366666666666667,0.2897666666666667,0.3411,2.6,0.033333333,13.633333333333333,0.5157666666666667,0.2747,0.2334666666666666,3.48,14.483333333333333,8.923333333333334,10.246666666666666,2.053333333333333,0.7100000000000001,10.443333333333332,20.956666666666667,1.0933333333333333,1.4933333333333332,2.58,0.0738,-0.656666667,-0.236666667,-0.893333333,0.5333333333333333,38.9,8.203333333333333,19.46333333333333,0.421,1.8866666666666667,5.196666666666667,0.3369666666666667,6.336666666666667,14.263333333333332,0.4366666666666666,3.85,4.613333333333333,0.8358666666666666,1.5933333333333333,6.52,8.113333333333333,3.1933333333333334,2.053333333333333,0.4666666666666667,2.6,4.016666666666667,22.146666666666665,103.66666666666669,107.46666666666668,0.0,0.14037037,0.781333333,0.103333333,0.0,,0.14037037,0.884666666
272,Cartier Martin,27.30434782608696,419.60869565217394,0.4154782608695652,17.482608695652175,0.5088260869565218,0.1698260869565217,0.078826087,0.073869565,0.1862173913043478,0.4911739130434783,0.4457826086956521,0.58605,0.2251,0.2073478260869565,0.4482608695652174,0.3897826086956522,0.6236956521739131,0.923391304,0.003956522,0.8695652173913043,0.3992608695652174,0.3600434782608696,0.8260869565217391,0.0,10.395652173913044,0.5371739130434783,0.4911739130434783,0.2475652173913043,4.156521739130435,12.295652173913044,8.213043478,6.465217391304347,1.4130434782608696,0.4391304347826086,10.230434782608697,17.23913043478261,0.1434782608695652,0.3391304347826087,0.4565217391304347,0.0580434782608695,-1.626086957,-0.739130435,-2.373913043,-0.017391304,2.391304347826087,6.395652173913043,15.965217391304348,0.4154782608695652,2.917391304347826,7.617391304347826,0.3897826086956522,3.4869565217391307,8.334782608695651,0.4457826086956521,2.678260869565217,3.652173913043478,0.7328181818181818,1.8521739130434784,5.460869565217392,7.313043478260869,2.108695652173913,1.4130434782608696,0.2913043478260869,2.0217391304347827,4.956521739130435,18.421739130434784,104.8695652173913,109.34782608695652,0.0,0.232173913,0.734782609,0.042777778,0.0,,0.232173913,0.7775603870000001
278,Cedi Osman,65.4,1599.6,0.4307999999999999,16.04,0.4762,0.2528,0.1197999999999999,0.0512,0.0522,0.5238,0.5178,0.6382,0.3832,0.3742,0.366,0.3524,0.5736,0.8792,0.0121999999999999,6.2,0.2552,0.359,1.0,0.0,11.36,0.5432,0.5238,0.2012,2.42,12.820000000000002,7.56,12.84,1.54,0.52,11.52,18.48,0.7,0.76,1.48,0.0482,-1.56,-0.76,-2.34,-0.18,36.2,7.26,16.98,0.4307999999999999,3.12,9.0,0.3524,4.1,8.0,0.5178,2.38,3.4200000000000004,0.6956,1.0799999999999998,5.6,6.7,4.24,1.54,0.2799999999999999,2.36,4.4,19.98,106.4,115.0,0.01,0.16,0.676,0.2,0.0,,0.17,0.8760000000000001
