,Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,Unnamed: 74,G%,F%
1787,Spencer Hawes,52.07692307692308,1226.0,0.4669615384615385,12.326923076923077,0.715,0.2948076923076923,0.1964615384615384,0.1149230769230769,0.1086923076923077,0.285,0.5110769230769231,0.6622692307692308,0.4094615384615385,0.3961923076923077,0.4475769230769231,0.3461153846153846,0.7057692307692308,0.9861538461538462,0.0429230769230769,15.423076923076923,0.1551538461538461,0.3743461538461539,0.4615384615384615,0.0,15.28076923076923,0.545923077,0.285,0.188576923076923,5.984615384615385,22.59230769230769,14.188461538461535,15.011538461538462,0.8653846153846154,3.088461538461538,14.303846153846154,19.657692307692308,0.7730769230769231,1.2923076923076924,2.0615384615384618,0.093307692,-0.311538462,0.4384615384615384,0.1461538461538461,0.5307692307692308,29.346153846153847,8.25,17.623076923076923,0.4669615384615385,1.8384615384615384,4.992307692307692,0.3461153846153846,6.4192307692307695,12.626923076923076,0.5110769230769231,2.5846153846153848,3.3115384615384613,0.772576923,2.75,10.073076923076922,12.803846153846154,4.676923076923076,0.8653846153846154,1.9115384615384616,3.196153846153846,5.1923076923076925,20.9,105.6153846153846,106.73076923076924,0.0,0.0,0.0,0.506363636,0.786923077,,0.0,0.506363636
1789,Stanislav Medvedenko,37.0,514.4,0.4488,9.28,0.9822,0.3186,0.231,0.1266,0.3041999999999999,0.0178,0.4493999999999999,0.6286,0.373,0.40975,0.35025,0.125,0.7276,1.0,0.0102,3.4,0.33325,0.25,0.2,0.0,12.1,0.497,0.0178,0.2504,7.52,11.4,9.44,9.94,0.6799999999999999,0.8,7.959999999999999,20.3,0.4,0.42,0.82,0.0814,-2.6,-1.96,-4.56,-0.32,10.4,8.7,19.44,0.4488,0.1399999999999999,0.34,0.125,8.56,19.1,0.4493999999999999,3.98,4.9,0.78975,3.46,5.18,8.66,3.06,0.6799999999999999,0.5599999999999999,2.02,8.82,21.5,107.6,109.4,0.0,0.0,0.0,0.41,0.594,,0.0,0.41
1795,Stephen Zimmerman,19.0,108.0,0.323,8.1,1.0,0.29,0.323,0.258,0.129,0.0,0.323,0.556,0.3,0.125,0.25,,0.6,,0.065,2.0,,,0.0,0.0,7.3,0.346,0.0,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-0.1,0.1,0.0,-0.005,-6.6,-1.7,-8.3,-0.2,0.0,4.6,14.2,0.323,0.0,0.0,,4.6,14.2,0.323,1.4,2.3,0.6,5.0,11.0,16.1,1.8,0.9,2.3,1.4,7.8,10.6,86.0,108.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
1804,Steven Adams,73.77777777777777,1979.0,0.5786666666666667,3.2555555555555555,0.9965555555555556,0.6384444444444445,0.3054444444444444,0.0494444444444444,0.003,0.003444444,0.5804444444444444,0.6656666666666666,0.4336666666666666,0.4362222222222222,0.2142857142857142,0.047571429,0.6425555555555555,1.0,0.1981111111111111,85.44444444444444,0.047571429,0.0,1.2222222222222223,0.1111111111111111,16.62222222222222,0.5867777777777777,0.003444444,0.4712222222222222,14.377777777777778,18.11111111111111,16.27777777777778,7.844444444444444,1.5666666666666669,3.011111111111111,16.288888888888888,14.322222222222225,3.555555555555556,2.6555555555555554,6.233333333333333,0.1474444444444444,0.011111111111111,0.3666666666666667,0.3666666666666666,1.2555555555555555,66.55555555555556,6.688888888888889,11.511111111111113,0.5786666666666667,0.0,0.033333333,0.047571429,6.688888888888889,11.466666666666669,0.5804444444444444,2.8666666666666667,5.222222222222222,0.5448888888888889,6.455555555555556,8.211111111111112,14.655555555555557,2.7333333333333334,1.5666666666666669,1.7666666666666666,2.6333333333333333,4.755555555555556,16.288888888888888,118.55555555555556,106.33333333333331,0.0,0.0,0.0,0.01,0.998888889,,0.0,0.01
1806,Steven Hunter,49.57142857142857,782.4285714285714,0.5422857142857144,2.6714285714285717,0.9992857142857144,0.7218571428571429,0.1838571428571428,0.067142857,0.026142857,0.000714286,0.5425714285714286,0.6485714285714286,0.2604285714285714,0.2232857142857143,0.1285714285714286,0.0,0.6647142857142858,,0.2764285714285714,43.42857142857143,0.0,,0.1428571428571428,0.0,12.242857142857144,0.5402857142857143,0.000714286,0.5858571428571429,9.785714285714286,15.657142857142857,12.7,1.5714285714285714,0.3857142857142857,5.057142857142857,13.771428571428572,14.55714285714286,0.7285714285714285,0.6428571428571429,1.3714285714285714,0.07,-2.514285714,-0.642857143,-3.171428571,-0.028571429,15.571428571428571,6.1571428571428575,11.457142857142856,0.5422857142857144,0.0,0.0,0.0,6.1571428571428575,11.457142857142856,0.5425714285714286,3.185714285714286,6.799999999999999,0.4575714285714286,4.371428571428572,7.057142857142857,11.414285714285716,0.5285714285714286,0.3857142857142857,3.585714285714286,2.2857142857142856,5.714285714285714,15.471428571428572,104.85714285714286,107.42857142857144,0.0,0.0,0.0,0.233333333,0.8,,0.0,0.233333333
1817,Tacko Fall,12.333333333333334,76.0,0.6423333333333333,3.1,1.0,0.6436666666666667,0.345,0.0,0.0113333333333333,0.0,0.6423333333333333,0.7453333333333333,0.4333333333333333,,1.0,,0.6789999999999999,,0.3756666666666666,6.666666666666667,,,0.0,0.0,19.766666666666666,0.6030000000000001,0.0,0.438,9.9,34.666666666666664,22.4,4.5,0.6333333333333333,11.333333333333334,15.8,16.833333333333332,0.066666667,0.1666666666666666,0.2666666666666666,0.1476666666666666,-1.8,3.233333333333333,1.4333333333333331,0.066666667,0.3333333333333333,9.266666666666667,13.7,0.6423333333333333,0.0,0.0,,9.266666666666667,13.7,0.6423333333333333,1.6666666666666667,5.233333333333333,0.3173333333333333,4.366666666666667,15.633333333333333,20.03333333333333,1.4333333333333331,0.6333333333333333,6.066666666666666,3.0333333333333337,6.866666666666667,20.23333333333333,110.0,100.33333333333331,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
1823,Tarik Black,44.583333333333336,774.9166666666666,0.5639166666666666,3.0666666666666664,0.9881666666666667,0.6990833333333333,0.23525,0.0172499999999999,0.037166667,0.0118333333333333,0.5700833333333334,0.6525,0.417,0.07675,0.1321666666666666,0.073875,0.6764166666666666,0.5,0.2319166666666666,38.0,0.034125,0.333,0.6666666666666666,0.0,14.116666666666667,0.5721666666666666,0.0118333333333333,0.4205833333333333,13.091666666666669,21.383333333333336,17.125,5.058333333333333,0.9833333333333334,1.9666666666666668,14.175,13.883333333333333,1.2916666666666667,0.6083333333333334,1.9333333333333336,0.1175833333333333,-1.683333333,-0.891666667,-2.583333333,-0.05,21.0,6.466666666666666,11.491666666666667,0.5639166666666666,0.008333333,0.1166666666666666,0.073875,6.458333333333333,11.341666666666669,0.5700833333333334,2.6666666666666665,4.875,0.5436666666666666,6.041666666666667,9.533333333333331,15.6,1.625,0.9833333333333334,1.225,2.216666666666667,7.191666666666666,15.6,115.16666666666669,107.5,0.0,0.0,0.03,0.226666667,0.770833333,,0.0,0.25666666699999996
1844,Theo Ratliff,36.87878787878788,899.7575757575758,0.4667878787878788,5.972727272727273,0.996909091,0.4506666666666666,0.2913333333333333,0.1931818181818181,0.0615757575757575,0.003090909,0.4684242424242424,0.6005454545454546,0.4025625,0.3254242424242424,0.2762222222222222,0.0,0.6314242424242424,,0.1943030303030303,30.424242424242426,0.0,,0.0,0.0,11.67878787878788,0.511,0.003090909,0.4253333333333333,8.654545454545456,15.92121212121212,12.296969696969697,4.424242424242424,0.9848484848484848,7.045454545454546,18.01818181818182,12.193939393939392,0.4606060606060606,1.190909090909091,1.6515151515151516,0.083090909,-3.13030303,1.9484848484848485,-1.181818182,0.3272727272727272,26.454545454545453,4.654545454545454,9.848484848484848,0.4667878787878788,0.0,0.0272727272727272,0.0,4.654545454545454,9.812121212121212,0.4684242424242424,2.703030303030303,3.9909090909090903,0.648060606,3.912121212121212,7.293939393939394,11.206060606060609,1.5484848484848486,0.9848484848484848,4.924242424242424,2.5424242424242425,6.424242424242424,11.996969696969696,101.6060606060606,102.87878787878788,0.0,0.0,0.0,0.199090909,0.869090909,,0.0,0.199090909
1846,Thomas Bryant,34.0,685.0,0.5492,11.44,0.7188000000000001,0.3932,0.1454,0.0546,0.1258,0.2812,0.6556,0.8208,0.4452,0.36275,0.3636,0.311,0.8026,0.9832,0.2222,48.2,0.1452,0.3772,0.0,0.0,17.46,0.615,0.2812,0.3028,7.08,21.18,14.080000000000002,9.6,0.78,3.28,9.46,17.66,1.7600000000000002,0.56,2.34,0.1362,0.6199999999999999,-0.5,0.1600000000000001,0.6,21.6,8.74,15.82,0.5492,1.22,4.34,0.311,7.52,11.44,0.6556,3.3600000000000003,4.720000000000001,0.724,3.12,9.22,12.36,3.1,0.78,1.84,1.88,4.46,22.06,121.4,112.2,0.0,0.0,0.0,0.186666667,0.888,,0.0,0.186666667
1849,Thomas Welsh,11.0,36.0,0.538,20.2,0.462,0.077,0.0,0.231,0.154,0.538,0.667,1.0,,0.667,0.5,0.429,1.0,1.0,0.077,1.0,0.0,,0.0,0.0,16.1,0.648,0.538,0.154,0.0,12.1,6.0,20.5,0.0,0.0,6.7,17.7,0.1,0.0,0.1,0.162,2.2,-1.1,1.2,0.0,0.0,9.6,17.7,0.538,4.1,9.6,0.429,5.5,8.2,0.667,1.4,2.7,0.5,0.0,5.5,5.5,6.8,0.0,0.0,1.4,4.1,24.6,130.0,115.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
1850,Thon Maker,44.84615384615385,652.6153846153846,0.4283076923076923,14.746153846153849,0.5138461538461538,0.2814615384615384,0.1396923076923077,0.043153846,0.049615385,0.4861538461538461,0.5279230769230769,0.6325384615384616,0.4088461538461538,0.462,0.339076923076923,0.3,0.7973076923076923,0.99625,0.1073076923076923,17.076923076923077,0.4307692307692307,0.3421538461538462,0.1538461538461538,0.0,12.284615384615384,0.5435384615384616,0.4861538461538461,0.3512307692307692,5.792307692307692,16.79230769230769,11.346153846153848,6.438461538461539,1.123076923076923,4.307692307692308,10.207692307692309,15.207692307692309,0.3846153846153846,0.8846153846153846,1.276923076923077,0.1043846153846153,-1.992307692,0.7538461538461539,-1.238461538,0.069230769,6.923076923076923,5.738461538461539,13.353846153846153,0.4283076923076923,2.1,6.584615384615384,0.3,3.6384615384615375,6.823076923076924,0.5279230769230769,3.1923076923076925,4.592307692307693,0.6805384615384615,2.553846153846154,7.615384615384615,10.176923076923078,2.2384615384615385,1.123076923076923,2.4384615384615382,1.7076923076923076,5.576923076923077,16.73076923076923,110.23076923076924,107.23076923076924,0.0,0.0,0.07,0.357692308,0.636923077,,0.0,0.427692308
1852,Tiago Splitter,50.71428571428572,973.1428571428572,0.5375714285714286,3.7857142857142856,0.9678571428571427,0.6352857142857143,0.3038571428571428,0.0154285714285714,0.0131428571428571,0.032142857,0.5437142857142857,0.6421428571428571,0.3688571428571428,0.1654999999999999,0.1708333333333333,0.0666,0.6844285714285715,1.0,0.076571429,22.285714285714285,0.2,0.0,0.4285714285714285,0.0,17.04285714285714,0.5851428571428572,0.032142857,0.4754285714285714,10.285714285714286,19.071428571428573,14.8,9.028571428571428,1.4,2.0,13.828571428571427,18.87142857142857,2.0571428571428574,1.5714285714285714,3.6,0.1587142857142857,-0.414285714,0.4428571428571429,0.042857143,0.7571428571428571,21.857142857142858,8.057142857142857,15.1,0.5375714285714286,0.1857142857142857,0.6142857142857142,0.0666,7.871428571428572,14.471428571428572,0.5437142857142857,4.985714285714286,7.085714285714286,0.7205714285714285,4.485714285714286,8.757142857142856,13.228571428571428,2.9714285714285715,1.4,1.3714285714285714,2.957142857142857,5.385714285714286,21.285714285714285,113.85714285714286,102.85714285714286,0.0,0.0,0.0,0.326,0.767142857,,0.0,0.326
